"","label","pval","fdr","signature","geneset","overlap","background","hits","generatio"
"REACTOME_DEVELOPMENTAL_BIOLOGY"," Developmental biology",3.7e-27,5.4e-25,3333,838,204,29522,"ABL1,ABLIM1,ADAM10,ADGRG6,AKT2,ALCAM,AMH,ANK3,AP2A1,APH1B,ARHGAP35,ARHGAP39,ARHGEF11,ARHGEF28,ARHGEF7,ARPC1A,ARPC3,ARPC5,BNIP2,CAP2,CARM1,CASC3,CBFB,CCND3,CD24,CDK4,CEBPD,CLASP1,CLTA,CNOT9,COL3A1,COL4A1,COL4A3,COL4A4,COL4A5,COL5A2,COL9A3,CREBBP,CTNNA1,CTNNB1,CXCR4,CYP51A1,DEK,DNM2,DSG2,E2F1,EED,EFNA1,EIF4G1,ELOC,ENAH,EP300,EPHA5,EVL,EZR,FAU,FGF2,FOXL2,FRS2,FURIN,GATA6,GIT1,GRB10,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HSPA8,IL6R,ITGA5,ITGAV,ITGB1,KAT2A,KAT2B,KMT2D,KRT10,KRT18,KRT7,KRT80,LAMB1,LPL,LYPLA2,MAGOH,MAMLD1,MAP2K1,MAP2K2,MAPK1,MAPK14,MED1,MED16,MED21,MED24,MED29,MED8,MEF2A,MEF2D,MET,MYC,MYL12A,MYL12B,MYO9B,NAB1,NAB2,NCBP2,NCOA6,NCOR1,NCOR2,NFKB1,NRAS,PAGR1,PAK6,PAXIP1,PFN1,PI3,PIK3CB,PITPNA,PLXNA1,PMP22,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPARGC1A,PPL,PRKACA,PRSS8,PSENEN,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PSPN,PTK2,RANBP9,RARB,RASA1,RBX1,RDX,RELA,RHOB,ROCK2,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RPS6KA3,RPS6KA4,SDC2,SEM1,SEMA7A,SH3KBP1,SHC1,SHTN1,SPINK5,SPINK6,SPTBN2,SREBF1,SREBF2,SUZ12,TBL1X,TBL1XR1,THRAP3,TLN1,TSC22D1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UNC5B,UTRN,VAV3,VLDLR,WASL,WDR5,ZNF335",0.243436754176611
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM"," Adaptive immune system",1.1e-21,1.5e-19,3333,614,153,29522,"ACTR1A,ACTR1B,AKT2,ANAPC1,ANAPC11,ANAPC2,AP1B1,AP1M1,AP1S1,AP1S2,AP2A1,ASB3,ASB6,BTBD6,CAPZA2,CDC23,CENPE,CHUK,CLTA,COL1A1,COL3A1,CSK,CTSC,CTSL,CTSS,CTSV,CUL7,CXADR,DNM2,DTX3L,DYNC1LI2,ELOC,ENAH,EVL,FBXL18,FBXL19,FBXO2,FBXO30,FBXO41,FBXW11,FBXW9,HECTD2,HECTD3,HERC5,HLA-A,HUWE1,ITGAV,ITGB1,KCTD6,KIF20A,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KLC2,KLHL11,KLHL2,KLHL22,KLHL25,KLHL42,KLHL5,KLHL9,LGMN,LMO7,LNPEP,LRRC41,MAP3K14,MEX3C,MGRN1,MIB2,MLST8,MYLIP,NEDD4,NEDD4L,NFATC2,NFKB1,NFKBIB,NPDC1,NPEPPS,NRAS,OSBPL1A,PDIA3,PDPK1,PIK3CB,PPL,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RAB7A,RAP1A,RAP1GAP2,RBX1,RCHY1,RELA,RNF114,RNF123,RNF19B,RNF213,RNF217,RNF220,RNF25,RNF41,SEC23A,SEC24A,SEC24C,SEC61A1,SEC61G,SEM1,SH3KBP1,SKP2,SMURF2,SPTBN2,THEM4,THOP1,TLR4,TRAF7,TRIB3,TRIM11,TRIM36,TRIM41,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBA1,UBA3,UBA6,UBE2B,UBE2E3,UBE2F,UBE2G1,UBE2J1,UBE2M,UBE2O,UBE2Q2,UBE2S,UBR4,VAMP3,WAS,WSB1,WWP1,ZNRF2",0.249185667752443
"REACTOME_M_PHASE"," M phase",9.4e-21,1.1e-18,3333,390,111,29522,"AAAS,ACTR1A,AKAP9,ANAPC1,ANAPC11,ANAPC16,ANAPC2,BUB1,BUB1B,BUB3,CC2D1B,CCNB1,CCNB2,CDC23,CDK1,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CEP152,CEP164,CEP290,CEP43,CEP57,CEP70,CLASP1,CNEP1R1,CNTRL,DYNC1LI2,GORASP1,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,HAUS4,HAUS6,INCENP,KIF20A,KIF23,KIF2A,KIF2C,KNL1,KPNB1,LBR,MAD2L1,MAPK1,MAU2,MZT1,NDC80,NEK2,NEK7,NSL1,NUF2,NUMA1,NUP188,NUP214,NUP50,NUP54,NUP98,PCM1,PLK1,PMF1,POM121,POM121C,PPP1CC,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTTG1,RAB1A,RAB1B,RAD21,RAN,RANGAP1,SEM1,SGO1,SMC1A,SMC3,SMC4,SPC24,SSNA1,STAG2,SUMO1,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TUBGCP2,UBE2S,USO1,VPS4A,VRK1,XPO1,YWHAG",0.284615384615385
"REACTOME_INNATE_IMMUNE_SYSTEM"," Innate immune system",9.8e-21,1.1e-18,3333,808,183,29522,"ABL1,ACTR1B,ADAM10,AGL,ALDOA,AP1M1,APAF1,ARMC8,ARPC1A,ARPC3,ARPC5,ARSA,ATG12,ATP6AP2,ATP6V1A,ATP6V1C2,ATP6V1D,ATP6V1E2,ATP6V1F,ATP6V1H,ATP7A,B4GALT1,BIRC3,BRI3,C1R,C1S,C6orf120,CAB39,CAPZA2,CASP1,CASP4,CASP9,CCT8,CD44,CD46,CD47,CD55,CD58,CD59,CD63,CEP290,CHUK,COMMD9,COPB1,COTL1,CREBBP,CTNNB1,CTSC,CTSL,CTSS,CTSV,CYB5R3,DBNL,DEGS1,DERA,DNAJC13,DNAJC3,DNM2,DOK3,ECSIT,ELK1,EP300,ERP44,FAF2,FBXW11,FOS,GCA,GGH,GM2A,GNS,GRN,HERC5,HEXB,HLA-A,HSP90B1,HSPA8,HUWE1,IMPDH2,IRAK1,ITGAV,KPNB1,LAMP1,LAMP2,LAMTOR3,LGMN,LRG1,MANBA,MAP2K1,MAP2K7,MAP3K1,MAP3K14,MAPK1,MAPK14,MAVS,MEF2A,METTL7A,MLEC,MME,MOSPD2,MRE11,MUC1,MYO1C,MYO9B,NFATC2,NFKB1,NFKBIB,NHLRC3,NKIRAS1,NPC2,NRAS,OSTF1,PDPK1,PGAM1,PGRMC1,PI3,PIK3C3,PIK3CB,PLAUR,PLD3,POLR2E,POLR2K,POLR3H,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTK2,PTPN4,RAB27A,RAB5C,RAB6A,RAB7A,RAP1A,RAP2C,RELA,RELB,RHOF,RHOG,RPS6KA3,SARM1,SEM1,SHC1,SIGIRR,SIKE1,SLC2A3,SNAP25,SNAP29,SRP14,STOM,TAB3,TANK,TBK1,TEC,TIMP2,TKFC,TLR4,TMEM30A,TNFAIP3,TOM1,TRAF2,TRIM25,TUBB,TUBB4B,TXN,TXNIP,UBA3,UBE2M,UBR4,VAV3,VCP,VPS35L,VTN,WAS,WASF2,WASL,YPEL5",0.226485148514851
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE"," Organelle biogenesis and maintenance",3.2e-20,3.4e-18,3333,281,89,29522,"ACTR1A,AKAP9,ATP5F1B,ATP5F1E,ATP5MC1,ATP5MG,ATP5PD,ATP5PO,B9D1,BBIP1,C2CD3,CARM1,CCT3,CCT8,CDK1,CEP152,CEP162,CEP164,CEP290,CEP43,CEP57,CEP70,CEP97,CLASP1,CNTRL,CREBBP,CRTC1,CRTC2,CRTC3,CYCS,DNAJC11,DYNC2LI1,EXOC7,EXOC8,GBF1,GLUD1,HAUS4,HAUS6,HCFC1,HDAC6,HSPB11,IFT140,IFT20,IFT27,IFT43,IFT46,IFT80,IQCB1,KIF3B,MAPK14,MED1,MEF2D,MICOS10,MICOS13,NCOA6,NCOR1,NEK2,PCM1,PLK1,POLRMT,PPARGC1A,PPP2R1A,PPRC1,PRKACA,PRKAG1,RAB11A,RP2,SSBP1,SSNA1,TBL1X,TBL1XR1,TCTN1,TCTN2,TCTN3,TFAM,TFB1M,TMEM11,TMEM216,TRAF3IP1,TTC21B,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,UNC119B,YWHAG",0.316725978647687
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"," Nervous system development",5.3e-20,5.3e-18,3333,515,132,29522,"ABL1,ABLIM1,ADAM10,ADGRG6,ALCAM,ANK3,AP2A1,APH1B,ARHGAP35,ARHGAP39,ARHGEF11,ARHGEF28,ARHGEF7,ARPC1A,ARPC3,ARPC5,CAP2,CASC3,CD24,CLASP1,CLTA,COL3A1,COL4A1,COL4A3,COL4A4,COL4A5,COL5A2,COL9A3,CXCR4,CYP51A1,DNM2,EFNA1,EIF4G1,ELOC,ENAH,EPHA5,EVL,EZR,FAU,FRS2,GIT1,GRB10,HSPA8,ITGA5,ITGAV,ITGB1,LAMB1,LYPLA2,MAGOH,MAP2K1,MAP2K2,MAPK1,MAPK14,MET,MYL12A,MYL12B,MYO9B,NAB1,NAB2,NCBP2,NRAS,PAK6,PFN1,PIK3CB,PITPNA,PLXNA1,PMP22,PRKACA,PSENEN,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PSPN,PTK2,RANBP9,RASA1,RBX1,RDX,RHOB,ROCK2,RPL11,RPL14,RPL23,RPL23A,RPL24,RPL31,RPL34,RPL35A,RPL36AL,RPL37,RPL37A,RPL38,RPL4,RPL5,RPS12,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27L,RPS29,RPS6,RPS6KA3,RPS6KA4,SDC2,SEM1,SEMA7A,SH3KBP1,SHC1,SHTN1,SPTBN2,SREBF2,TLN1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UNC5B,UTRN,VAV3,VLDLR,WASL",0.25631067961165
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION"," Asparagine n linked glycosylation",1.2e-19,1.1e-17,3333,281,88,29522,"ACTR1A,ALG10B,ALG3,ALG6,ANK3,ANKRD28,ARF3,ARF5,ARFGAP2,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT6,BET1L,CAPZA2,CD55,CD59,CMAS,COG7,COG8,COL7A1,COPB1,COPE,COPG2,CTSC,DERL2,DPAGT1,DPM1,DYNC1LI2,EDEM1,F8,FUT8,GANAB,GBF1,GFPT1,GMPPA,GNE,GORASP1,GOSR2,KDELR2,LMAN1,LMAN2,MAN1A1,MAN1A2,MGAT4A,MGAT4B,MLEC,MOGS,MPDU1,NANS,NAPB,NAPG,PDIA3,PGM3,PMM1,PPP6C,PPP6R1,PREB,RAB1A,RAB1B,RAD23B,RNF139,RNF185,RPN1,SCFD1,SEC16A,SEC23A,SEC24A,SEC24C,SLC17A5,SPTBN2,ST3GAL5,STX5,TMED7,TMEM115,TRAPPC2,TRAPPC2L,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UGGT1,UGGT2,USO1,VCP",0.313167259786477
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"," Transcriptional regulation by tp53",2.8e-19,2.5e-17,3333,352,101,29522,"AGO2,AKT2,APAF1,ATR,ATRIP,AURKA,BANP,BRD7,BRPF1,CARM1,CASP1,CCNA2,CCNB1,CCNG1,CCNK,CDK1,CDKN1B,CNOT8,CNOT9,COX19,COX5B,COX6C,COX7A2L,COX7B,COX7C,COX8A,CREBBP,CYCS,DYRK2,E2F1,E2F7,EHMT1,ELOC,EP300,FAS,FOS,G6PD,GATAD2A,GATAD2B,GLS,GSR,GTF2F2,LAMTOR3,LAMTOR5,MAPK14,MBD3,MDC1,MEAF6,MLST8,MRE11,MTA2,NBN,PCNA,PDPK1,PHF20,PIP4K2A,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPP2CB,PPP2R1A,PRELID1,PRKAA1,PRKAG1,PRMT1,PRMT5,RAD50,RAD51D,RAD9A,RBL2,RFC3,RFC4,RHEB,RMI2,RPA2,RPA3,RPTOR,RRAGB,RRM2B,SESN3,SFN,SLC38A9,SMYD2,SSRP1,SUPT5H,TAF10,TAF13,TAF3,TAF5,TAF6,TNFRSF10B,TNRC6A,TNRC6C,TP53,TP53RK,TSC2,TXN,YWHAG,ZNF385A",0.286931818181818
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"," Signaling by receptor tyrosine kinases",2.4e-18,2.1e-16,3333,445,116,29522,"ADAM10,ADAM17,AKT2,AP2A1,APH1B,ARHGEF7,ATP6AP1,ATP6V1A,ATP6V1C2,ATP6V1D,ATP6V1E2,ATP6V1F,ATP6V1H,AXL,BCAR1,CAV1,CLTA,COL1A1,COL3A1,COL4A1,COL4A3,COL4A4,COL4A5,COL5A2,COL9A3,CSK,CTNNA1,CTNNB1,DNAL4,DNM2,EGR1,ELK1,EP300,EPGN,EPN1,EPS15,EPS15L1,ERBB3,F3,FGF2,FGFBP1,FGFR2,FGFRL1,FOS,FOSB,FOSL1,FRS2,FURIN,GGA3,GRB10,GTF2F2,HGS,HNRNPF,INSR,ITGAV,ITGB1,LAMB1,MAP2K1,MAP2K2,MAP2K5,MAPK1,MAPK14,MEF2A,MEF2D,MET,MKNK1,MLST8,MST1,MYC,NAB1,NAB2,NCBP2,NCOR1,NEDD4,NRAS,PDPK1,PIK3C3,PIK3CB,PLAT,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPP2CB,PPP2R1A,PRKACA,PSENEN,PTK2,PTPN1,PTPN12,PTPRS,RANBP9,RAP1A,RASA1,RBFOX2,RNF41,ROCK2,RPS6KA3,SH2B3,SH3GL1,SH3KBP1,SHC1,SOCS6,SPRED1,SPRY2,SRF,STAT5A,STMN1,TEC,THEM4,TIA1,TRIB3,VAV3,WASF2,WWP1",0.260674157303371
"REACTOME_RHO_GTPASE_CYCLE"," Rho gtpase cycle",3.3e-18,2.7e-16,3333,413,110,29522,"AAAS,ACBD5,ADD3,AMIGO2,ANKFY1,ANLN,ARAP3,ARFGAP2,ARHGAP1,ARHGAP18,ARHGAP28,ARHGAP35,ARHGAP39,ARHGAP4,ARHGAP5,ARHGDIB,ARHGEF11,ARHGEF17,ARHGEF28,ARHGEF39,ARHGEF7,ATP6AP1,BAIAP2L1,C1QBP,CAV1,CAVIN1,CCT7,CDC42BPB,CDC42EP1,CDC42EP4,CEP97,CPSF7,CSK,DEPDC1B,DNMBP,DOCK11,DSG2,DST,ECT2,ESYT1,FAF2,FAM135A,FAM83B,FAM91A1,FGD1,FGD4,FLOT2,FRS2,GIT1,GOLGA3,GPS1,HGS,HSPE1,IL32,ITGB1,ITSN2,KCTD3,KTN1,LBR,LMAN1,MAP3K11,MOSPD2,MYO9B,NDUFA5,NSFL1C,PAK6,PGRMC2,PKN1,PKN2,PLEKHG2,PLEKHG4,PLEKHG5,PLXNA1,RAB7A,RHOB,RHOBTB1,RHOBTB2,RHOF,RHOG,RHOQ,RHOV,RHPN2,ROCK2,RRAS2,SCFD1,SH3PXD2A,SLC1A5,SLC4A7,SLITRK5,SOWAHC,SPEN,STOM,STX5,SWAP70,SYDE2,TFRC,TMEM59,TMEM87A,TPM4,TUBA1B,TWF1,UACA,VAMP3,VAV3,VCP,WAS,WASF2,WASL,WDR6,WWP2",0.26634382566586
"REACTOME_MITOTIC_PROMETAPHASE"," Mitotic prometaphase",1.3e-17,9.8e-16,3333,195,67,29522,"ACTR1A,AKAP9,BUB1,BUB1B,BUB3,CCNB1,CCNB2,CDK1,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CEP152,CEP164,CEP290,CEP43,CEP57,CEP70,CLASP1,CNTRL,DYNC1LI2,HAUS4,HAUS6,INCENP,KIF2A,KIF2C,KNL1,MAD2L1,MZT1,NDC80,NEK2,NEK7,NSL1,NUF2,NUMA1,NUP98,PCM1,PLK1,PMF1,PPP1CC,PPP2CB,PPP2R1A,PRKACA,RAD21,RANGAP1,SGO1,SMC1A,SMC3,SMC4,SPC24,SSNA1,STAG2,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUBB4B,TUBB6,TUBGCP2,XPO1,YWHAG",0.343589743589744
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"," Cytokine signaling in immune system",1.5e-17,1.1e-15,3333,566,135,29522,"AAAS,ADAM17,ADAR,AKT2,ANXA1,BIRC3,BRWD1,CAMK2D,CASP1,CCND1,CD44,CDKN1B,CEBPD,CHUK,CSK,EGR1,EIF4A2,EIF4E,EIF4G1,ELK1,ELOC,FBXW11,FGF2,FLNA,FLNB,FOS,GBP3,GRB10,HERC5,HLA-A,HNRNPA2B1,HNRNPDL,HNRNPF,HSP90B1,HSPA8,IFI35,IFIT5,IFITM2,IFNAR1,IFNGR1,IL17RA,IL18,IL27RA,IL32,IL6,IL6R,IL6ST,IL7R,IRAK1,IRF1,ITGB1,KPNA2,KPNA5,KPNB1,LTBR,MAP2K1,MAP2K7,MAP3K14,MAP3K3,MAPK1,MAPK14,MCL1,MEF2A,MTAP,MUC1,MYC,NEDD4,NFKB1,NFKBIB,NKIRAS1,NRAS,NUP188,NUP214,NUP50,NUP54,NUP98,OAS3,OASL,PDCD4,PIK3CB,PIM1,PITPNA,POM121,POM121C,PPP2CB,PPP2R1A,PRKACA,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTPN1,PTPN12,PTPN23,PTPN4,RBX1,RELA,RELB,RPS6KA3,SEM1,SH2B3,SHC1,SIGIRR,SNAP25,SNRPA1,SOCS5,SOCS6,SOD1,SP100,SQSTM1,STAT5A,STX3,SUMO1,TAB3,TALDO1,TBK1,TEC,TNFRSF1A,TNFSF9,TP53,TRAF2,TRIM14,TRIM25,TRIM26,TRIM35,TRIM6,TRIM68,TXLNA,TYK2,UBA3,UBE2M",0.238515901060071
"REACTOME_METABOLISM_OF_LIPIDS"," Metabolism of lipids",4.7e-17,3.3e-15,3333,628,144,29522,"ABCA1,ABCD1,ABHD3,ABHD4,ABHD5,ACACA,ACAD10,ACADM,ACAT1,ACBD5,ACSF3,ACSL4,AGPAT1,AGPAT3,ANKRD1,ARF3,ARNTL,ARSA,BCHE,CARM1,CAV1,CBR1,CERK,CERT1,CHPT1,CPT1A,CREBBP,CYP11A1,CYP27B1,CYP51A1,DDHD2,DEGS1,DHCR24,DHRS7B,ELOVL3,ELOVL6,EP300,ESYT1,ETNK1,FASN,FDX1,FIG4,GDPD1,GM2A,GPAT3,GPCPD1,HACD2,HADHA,HEXB,HMGCS1,HSD17B11,IDI1,INPP5F,KPNB1,LBR,LGMN,LIPH,LPCAT2,MBOAT1,MBOAT2,MCAT,MED1,MED16,MED21,MED24,MED29,MED8,MIGA1,MSMO1,MTF1,MTMR14,MTMR2,MVK,NCOA6,NCOR1,NCOR2,NFYA,NFYB,NPAS2,NR1H2,NR1H3,OSBPL10,OSBPL1A,OSBPL3,OSBPL8,OSBPL9,PCYT1A,PHYH,PI4K2B,PI4KA,PI4KB,PIK3C2A,PIK3C2B,PIK3C3,PIK3CB,PIP4K2A,PIP5K1B,PISD,PITPNM1,PLD3,PLEKHA1,PLEKHA5,PLEKHA6,PLPP1,PON2,PPARD,PPARGC1A,PPP1CC,PRKACA,PTGES,RAN,SACM1L,SBF1,SCAP,SCD,SCP2,SEC23A,SEC24A,SEC24C,SGMS1,SGMS2,SGPL1,SIN3B,SLC25A1,SLC25A17,SLC44A1,SLCO1B3,SMPD2,SPHK2,SRD5A1,SREBF1,SREBF2,STARD3,STARD3NL,STARD7,TAFAZZIN,TBL1X,TBL1XR1,THEM4,THRAP3,TRIB3,UGCG,UGT8,VAC14",0.229299363057325
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"," Transport to the golgi and subsequent modification",7.8e-17,5.2e-15,3333,168,60,29522,"ACTR1A,ANK3,ANKRD28,ARF3,ARF5,ARFGAP2,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT6,BET1L,CAPZA2,CD55,CD59,COG7,COG8,COL7A1,COPB1,COPE,COPG2,CTSC,DYNC1LI2,F8,FUT8,GBF1,GORASP1,GOSR2,KDELR2,LMAN1,LMAN2,MAN1A1,MAN1A2,MGAT4A,MGAT4B,NAPB,NAPG,PPP6C,PPP6R1,PREB,RAB1A,RAB1B,SCFD1,SEC16A,SEC23A,SEC24A,SEC24C,SPTBN2,STX5,TMED7,TMEM115,TRAPPC2,TRAPPC2L,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,USO1",0.357142857142857
"REACTOME_HEMOSTASIS"," Hemostasis",1.3e-16,8.4e-15,3333,485,119,29522,"ABCC4,ABHD12,ABHD6,ABL1,ACTN4,AK3,ALDOA,ANGPT1,ANXA5,ARRB2,BCAR1,C1QBP,CABLES2,CAPZA2,CAV1,CD109,CD44,CD47,CD58,CD63,CDC37L1,CENPE,COL1A1,CSK,CXADR,CYRIB,DGKD,DGKE,DGKZ,DOCK11,EHD2,ENDOD1,F11R,F2R,F3,F8,FAM3C,FLNA,GATA6,GNA11,GNA12,GNAI1,GNB1,GNG11,GNG12,GTPBP2,H3-3A,HMG20B,IRF1,ITGA5,ITGAV,ITGB1,KCNMB4,KDM1A,KIF18B,KIF20A,KIF20B,KIF23,KIF26A,KIF2A,KIF2C,KIF3B,KIFC2,KLC2,LAMP2,LHFPL2,LRP8,MAFK,MANF,MAPK1,MAPK14,NRAS,P2RX5,PDE9A,PDPK1,PFN1,PICK1,PIK3CB,PLAT,PLAUR,PPP2CB,PPP2R1A,PRKACA,PRKAR1A,PRKAR1B,PROCR,PSG4,PTK2,PTPN1,RAP1A,RCOR1,RHOB,RHOG,S100A10,SDC2,SDC3,SERPINB8,SERPINE2,SH2B3,SHC1,SLC3A2,SLC7A11,SLC7A5,SOD1,SRGN,TEX264,TFPI,TLN1,TMSB4X,TMX3,TNFRSF10B,TP53,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,VAV3",0.245360824742268
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION"," Class i mhc mediated antigen processing presentation",1.7e-16,1.1e-14,3333,350,95,29522,"ANAPC1,ANAPC11,ANAPC2,ASB3,ASB6,BTBD6,CDC23,CHUK,CTSL,CTSS,CTSV,CUL7,DTX3L,ELOC,FBXL18,FBXL19,FBXO2,FBXO30,FBXO41,FBXW11,FBXW9,HECTD2,HECTD3,HERC5,HLA-A,HUWE1,ITGAV,KCTD6,KLHL11,KLHL2,KLHL22,KLHL25,KLHL42,KLHL5,KLHL9,LMO7,LNPEP,LRRC41,MEX3C,MGRN1,MIB2,MYLIP,NEDD4,NEDD4L,NPEPPS,PDIA3,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,RBX1,RCHY1,RNF114,RNF123,RNF19B,RNF213,RNF217,RNF220,RNF25,RNF41,SEC23A,SEC24A,SEC24C,SEC61A1,SEC61G,SEM1,SKP2,SMURF2,THOP1,TLR4,TRAF7,TRIM11,TRIM36,TRIM41,UBA1,UBA3,UBA6,UBE2B,UBE2E3,UBE2F,UBE2G1,UBE2J1,UBE2M,UBE2O,UBE2Q2,UBE2S,UBR4,VAMP3,WSB1,WWP1,ZNRF2",0.271428571428571
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"," Signaling by nuclear receptors",2.3e-16,1.4e-14,3333,250,76,29522,"ABCA1,AGO2,AKT2,ALDH1A3,CARM1,CAV1,CAV2,CBFB,CCND1,CDKN1B,CHD1,CPT1A,CREBBP,CXXC5,CYP26B1,DLD,ELK1,EP300,EPGN,FASN,FKBP5,FOS,FOSB,GNAI1,GNB1,GNG11,GNG12,GTF2A2,GTF2F2,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,KAT2B,KCTD6,KDM1A,KDM4B,KPNA2,MAPK1,MED1,MYC,MYLIP,NCOR1,NCOR2,NR1H2,NR1H3,NRAS,PDHX,PDPK1,POLR2A,POLR2C,POLR2E,POLR2J,POLR2K,PPARD,PRMT1,PTK2,RAD21,RARB,SCD,SDR16C5,SHC1,SMC1A,SMC3,SREBF1,SRF,STAG2,TBL1X,TBL1XR1,TLE3,TNRC6A,TNRC6C,UHMK1,USF2,XPO1",0.304
"REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"," Mitotic metaphase and anaphase",3.2e-16,1.9e-14,3333,226,71,29522,"ANAPC1,ANAPC11,ANAPC16,ANAPC2,BUB1,BUB1B,BUB3,CC2D1B,CCNB1,CCNB2,CDC23,CDK1,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,DYNC1LI2,INCENP,KIF2A,KIF2C,KNL1,KPNB1,LBR,MAD2L1,NDC80,NSL1,NUF2,NUP188,NUP54,NUP98,PLK1,PMF1,POM121,PPP1CC,PPP2CB,PPP2R1A,PSMA1,PSMC3,PSMD10,PSMD11,PSMD12,PSMD14,PSMD4,PSMD8,PTTG1,RAD21,RAN,RANGAP1,SEM1,SGO1,SMC1A,SMC3,SPC24,STAG2,SUMO1,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,UBE2S,VPS4A,VRK1,XPO1",0.314159292035398
"REACTOME_RHO_GTPASE_EFFECTORS"," Rho gtpase effectors",3.3e-15,1.8e-13,3333,288,81,29522,"ABL1,ARPC1A,ARPC3,ARPC5,BUB1,BUB1B,BUB3,CDKN1B,CENPE,CENPF,CENPK,CENPL,CENPO,CENPP,CENPQ,CENPU,CLASP1,CTNNA1,CTNNB1,DVL1,DVL3,DYNC1LI2,EVL,FLNA,H2AC6,H2AZ1,H2BC12,H2BC13,H3-3A,INCENP,ITGB1,KDM1A,KIF2A,KIF2C,KLC2,KNL1,KTN1,MAD2L1,MAPK1,MAPK14,MEN1,MRTFA,MYL12B,NDC80,NSL1,NUF2,NUP98,PDPK1,PFN1,PIK3C3,PKN1,PKN2,PLK1,PMF1,PPP1CC,PPP1R12A,PPP2CB,PPP2R1A,PTK2,RANGAP1,RHOB,RHOG,RHOQ,RHPN2,ROCK2,SFN,SGO1,SPC24,SRF,TAOK1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB4B,TUBB6,WAS,WASF2,WASL,XPO1,YWHAG",0.28125
